run_short,camera_short,selector_version,selector_kind,created_at_kst,window_start_kst,window_end_kst,selected_jobs,selected_with_prelabel,selected_linkage_kind,window_clips,window_clips_with_prelabel_at_run,window_time_kind,eligible_pool_kind
50e3ad18,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T14:01:15.617766+09:00,2026-07-09T02:00:00+09:00,2026-07-09T03:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
73b8c86e,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T14:01:15.699496+09:00,2026-07-09T03:00:00+09:00,2026-07-09T04:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
df1cdaf0,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T21:13:01.748621+09:00,2026-07-09T20:00:00+09:00,2026-07-09T21:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
ea6f2ae6,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T21:13:01.894779+09:00,2026-07-09T21:00:00+09:00,2026-07-09T22:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
f6d2ef1d,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T21:13:01.995436+09:00,2026-07-09T22:00:00+09:00,2026-07-09T23:00:00+09:00,3,0,exact,0,0,estimate,not_reconstructable
97db360b,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T21:13:02.095885+09:00,2026-07-09T23:00:00+09:00,2026-07-10T00:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
3c3ee47d,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T21:13:02.199731+09:00,2026-07-10T00:00:00+09:00,2026-07-10T01:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
ade41f3a,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T21:13:02.352562+09:00,2026-07-10T01:00:00+09:00,2026-07-10T02:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
453104bc,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T21:13:02.421084+09:00,2026-07-10T02:00:00+09:00,2026-07-10T03:00:00+09:00,3,0,exact,0,0,estimate,not_reconstructable
32851e4d,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T21:13:02.495936+09:00,2026-07-10T03:00:00+09:00,2026-07-10T04:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
